"Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","B365H","B365D","B365A","BWH","BWD","BWA","IWH","season"
"E1","08/05/05","Wigan","Reading",3,1,"H",2,0,"H",14,9,12,6,9,9,4,1,1,1,0,0,1.66,3.8,5,1.7,3.55,4.15,1.55,"04/05"
"E1","08/05/05","Sunderland","Stoke",1,0,"H",0,0,"D",16,5,9,1,12,13,12,0,0,0,0,0,1.5,3.5,6,1.45,3.75,6.5,1.45,"04/05"
"E1","08/05/05","Plymouth","Leicester",0,0,"D",0,0,"D",16,6,7,2,15,25,7,1,0,4,0,0,2.25,3.25,2.75,2.25,3,3,2.1,"04/05"
"E1","08/05/05","Millwall","Burnley",0,0,"D",0,0,"D",6,1,2,1,8,13,4,2,2,1,0,0,1.72,3.5,4,1.85,3.25,3.75,1.75,"04/05"
"E1","08/05/05","Cardiff","QPR",1,0,"H",1,0,"H",9,6,4,3,12,13,9,4,0,0,0,0,2.2,3.25,2.8,2.25,3.2,2.8,2.1,"04/05"
"E1","08/05/05","Brighton","Ipswich",1,1,"D",1,1,"D",7,12,3,6,16,13,2,12,1,2,0,0,3.75,3.5,1.9,3.05,3.5,2,3.5,"04/05"
"E1","01/05/05","Leicester","Leeds",2,0,"H",2,0,"H",8,5,4,2,12,11,4,4,1,2,0,0,1.83,3.5,3.5,2.15,3.2,3,2,"04/05"
"E1","30/04/05","Sheffield United","Millwall",0,1,"A",0,1,"A",9,7,3,2,6,14,6,2,2,5,0,0,1.61,3.6,4.5,1.7,3.35,4.4,1.7,"04/05"
"E1","30/04/05","Preston","Wigan",1,1,"D",1,1,"D",7,6,3,3,12,15,3,4,1,1,0,0,2.5,3.2,2.5,2.3,3.1,2.8,2.3,"04/05"
"E1","30/04/05","Ipswich","Crewe",5,1,"H",2,0,"H",16,6,11,5,10,8,9,4,0,1,0,0,1.36,4.33,6.5,1.32,4.5,7.5,1.4,"04/05"
"E1","30/04/05","Gillingham","Cardiff",1,1,"D",0,0,"D",11,8,6,5,11,10,7,3,1,0,0,0,2.1,3.4,2.87,2.1,3.1,3.2,1.85,"04/05"
"E1","30/04/05","Coventry","Derby",6,2,"H",4,0,"H",10,10,8,5,14,16,7,6,1,3,0,0,2.5,3.4,2.37,2.75,3,2.4,2.45,"04/05"
"E1","30/04/05","Burnley","Plymouth",2,0,"H",0,0,"D",9,11,4,3,17,13,10,9,3,1,0,0,2.1,3.25,3,2,3.2,3.35,1.9,"04/05"
"E1","29/04/05","West Ham","Sunderland",1,2,"A",1,0,"H",10,7,5,5,12,13,4,3,3,1,0,0,2,3.4,3.5,2.05,3.3,3.15,2,"04/05"
"E1","26/04/05","Leicester","Derby",1,0,"H",0,0,"D",11,3,3,1,11,16,9,5,2,2,0,0,2.5,3.4,2.5,3.1,3.1,2.15,2.7,"04/05"
"E1","24/04/05","Millwall","Preston",2,1,"H",1,0,"H",8,6,3,2,12,18,3,7,2,2,0,0,2.6,3.4,2.5,2.55,3.2,2.45,2.4,"04/05"
"E1","23/04/05","Wigan","QPR",0,0,"D",0,0,"D",17,5,6,4,7,13,7,2,0,0,0,0,1.36,4,7.5,1.45,3.8,6.25,1.4,"04/05"
"E1","23/04/05","Watford","Sheffield United",0,0,"D",0,0,"D",7,8,2,5,13,13,7,7,0,0,0,0,2.6,3.2,2.4,2.55,3.1,2.5,2.9,"04/05"
"E1","23/04/05","Sunderland","Leicester",2,1,"H",1,1,"D",16,13,11,8,14,11,13,7,3,3,0,0,1.5,3.5,6,1.5,3.6,6,1.45,"04/05"
"E1","23/04/05","Plymouth","Coventry",1,1,"D",0,1,"A",15,10,8,5,14,16,11,6,0,3,0,0,2.1,3.25,3,2.05,3.15,3.25,1.9,"04/05"
