"Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","season"
"15/06/95","Benfica","Sp Lisbon",2,0,"H","94/95"
"28/05/95","Setubal","Madeira",4,1,"H","94/95"
"28/05/95","Porto","Tirsense",4,0,"H","94/95"
"28/05/95","Maritimo","Belenenses",3,0,"H","94/95"
"28/05/95","Leiria","Beira Mar",3,1,"H","94/95"
"28/05/95","Guimaraes","Sp Lisbon",2,2,"D","94/95"
"28/05/95","Gil Vicente","Salgueiros",0,0,"D","94/95"
"28/05/95","Farense","Est Amadora",2,0,"H","94/95"
"28/05/95","Desp. Chaves","Boavista",3,1,"H","94/95"
"28/05/95","Benfica","Sp Braga",1,1,"D","94/95"
"21/05/95","Tirsense","Benfica",1,3,"A","94/95"
"21/05/95","Sp Lisbon","Desp. Chaves",1,0,"H","94/95"
"21/05/95","Sp Braga","Leiria",2,0,"H","94/95"
"21/05/95","Salgueiros","Porto",1,2,"A","94/95"
"21/05/95","Madeira","Maritimo",2,2,"D","94/95"
"21/05/95","Est Amadora","Guimaraes",1,1,"D","94/95"
"21/05/95","Boavista","Gil Vicente",1,1,"D","94/95"
"21/05/95","Belenenses","Farense",1,0,"H","94/95"
"21/05/95","Beira Mar","Setubal",1,1,"D","94/95"
"14/05/95","Setubal","Sp Braga",0,0,"D","94/95"
"14/05/95","Porto","Boavista",4,2,"H","94/95"
"14/05/95","Madeira","Beira Mar",1,0,"H","94/95"
"14/05/95","Leiria","Tirsense",1,0,"H","94/95"
"14/05/95","Guimaraes","Belenenses",3,0,"H","94/95"
"14/05/95","Gil Vicente","Sp Lisbon",1,2,"A","94/95"
"14/05/95","Farense","Maritimo",4,0,"H","94/95"
"14/05/95","Desp. Chaves","Est Amadora",1,0,"H","94/95"
"14/05/95","Benfica","Salgueiros",3,0,"H","94/95"
"07/05/95","Tirsense","Setubal",1,0,"H","94/95"
"07/05/95","Sp Lisbon","Porto",0,1,"A","94/95"
"07/05/95","Sp Braga","Madeira",2,0,"H","94/95"
"07/05/95","Salgueiros","Leiria",2,2,"D","94/95"
"07/05/95","Maritimo","Beira Mar",3,2,"H","94/95"
"07/05/95","Farense","Guimaraes",3,0,"H","94/95"
"07/05/95","Est Amadora","Gil Vicente",1,1,"D","94/95"
"07/05/95","Boavista","Benfica",1,3,"A","94/95"
"07/05/95","Belenenses","Desp. Chaves",3,1,"H","94/95"
"30/04/95","Setubal","Salgueiros",1,2,"A","94/95"
"30/04/95","Porto","Est Amadora",0,0,"D","94/95"
"30/04/95","Madeira","Tirsense",1,1,"D","94/95"
"30/04/95","Leiria","Boavista",1,1,"D","94/95"
"30/04/95","Guimaraes","Maritimo",0,0,"D","94/95"
"30/04/95","Gil Vicente","Belenenses",1,1,"D","94/95"
"30/04/95","Desp. Chaves","Farense",1,2,"A","94/95"
"30/04/95","Beira Mar","Sp Braga",2,0,"H","94/95"
"16/04/95","Tirsense","Beira Mar",2,0,"H","94/95"
"16/04/95","Sp Lisbon","Leiria",4,0,"H","94/95"
"16/04/95","Salgueiros","Madeira",0,2,"A","94/95"
"16/04/95","Maritimo","Sp Braga",1,1,"D","94/95"
"16/04/95","Guimaraes","Desp. Chaves",1,0,"H","94/95"
"16/04/95","Farense","Gil Vicente",2,0,"H","94/95"
"16/04/95","Est Amadora","Benfica",0,0,"D","94/95"
"16/04/95","Boavista","Setubal",0,0,"D","94/95"
"16/04/95","Belenenses","Porto",0,2,"A","94/95"
"09/04/95","Sp Braga","Tirsense",0,0,"D","94/95"
"09/04/95","Setubal","Sp Lisbon",1,1,"D","94/95"
"09/04/95","Porto","Farense",2,0,"H","94/95"
"09/04/95","Madeira","Boavista",1,1,"D","94/95"
"09/04/95","Leiria","Est Amadora",1,0,"H","94/95"
"09/04/95","Gil Vicente","Guimaraes",2,2,"D","94/95"
"09/04/95","Desp. Chaves","Maritimo",1,1,"D","94/95"
"09/04/95","Benfica","Belenenses",2,1,"H","94/95"
"09/04/95","Beira Mar","Salgueiros",1,2,"A","94/95"
"02/04/95","Sp Lisbon","Madeira",4,0,"H","94/95"
"02/04/95","Salgueiros","Sp Braga",0,0,"D","94/95"
"02/04/95","Maritimo","Tirsense",1,0,"H","94/95"
"02/04/95","Guimaraes","Porto",0,1,"A","94/95"
"02/04/95","Farense","Benfica",4,1,"H","94/95"
"02/04/95","Est Amadora","Setubal",0,0,"D","94/95"
"02/04/95","Desp. Chaves","Gil Vicente",2,1,"H","94/95"
"02/04/95","Boavista","Beira Mar",1,0,"H","94/95"
"02/04/95","Belenenses","Leiria",0,0,"D","94/95"
"26/03/95","Tirsense","Salgueiros",1,3,"A","94/95"
"26/03/95","Sp Braga","Boavista",1,2,"A","94/95"
"26/03/95","Setubal","Belenenses",0,0,"D","94/95"
"26/03/95","Porto","Desp. Chaves",2,0,"H","94/95"
"26/03/95","Madeira","Est Amadora",0,1,"A","94/95"
"26/03/95","Leiria","Farense",5,0,"H","94/95"
"26/03/95","Gil Vicente","Maritimo",3,2,"H","94/95"
"26/03/95","Benfica","Guimaraes",1,3,"A","94/95"
"26/03/95","Beira Mar","Sp Lisbon",0,1,"A","94/95"
"20/03/95","Gil Vicente","Porto",0,1,"A","94/95"
"19/03/95","Sp Lisbon","Sp Braga",3,1,"H","94/95"
"19/03/95","Maritimo","Salgueiros",2,2,"D","94/95"
"19/03/95","Guimaraes","Leiria",3,0,"H","94/95"
"19/03/95","Farense","Setubal",2,0,"H","94/95"
"19/03/95","Est Amadora","Beira Mar",1,1,"D","94/95"
"19/03/95","Desp. Chaves","Benfica",0,1,"A","94/95"
