"Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","HS","AS","HF","AF","HC","AC","HY","AY","HR","AR","season"
"D1","19/05/01","Werder Bremen","Hansa Rostock",3,0,"H",2,0,"H",15,15,19,9,6,6,1,6,1,1,"00/01"
"D1","19/05/01","Schalke 04","Unterhaching",5,3,"H",2,2,"D",10,3,4,13,6,3,2,3,0,0,"00/01"
"D1","19/05/01","Leverkusen","Bochum",1,0,"H",1,0,"H",9,7,10,11,6,4,2,1,0,1,"00/01"
"D1","19/05/01","Kaiserslautern","Hertha",0,1,"A",0,0,"D",6,10,9,16,6,3,3,3,0,0,"00/01"
"D1","19/05/01","Hamburg","Bayern Munich",1,1,"D",0,0,"D",13,13,21,12,5,7,4,2,0,0,"00/01"
"D1","19/05/01","Freiburg","Wolfsburg",4,1,"H",2,0,"H",17,17,6,9,3,3,2,3,0,0,"00/01"
"D1","19/05/01","Ein Frankfurt","Stuttgart",2,1,"H",2,0,"H",9,15,9,10,2,4,0,0,0,0,"00/01"
"D1","19/05/01","Dortmund","FC Koln",3,3,"D",1,2,"A",18,7,20,14,9,3,1,4,1,0,"00/01"
"D1","19/05/01","Munich 1860","Cottbus",0,1,"A",0,1,"A",15,11,16,17,1,4,2,1,0,0,"00/01"
"D1","12/05/01","Wolfsburg","Ein Frankfurt",3,0,"H",3,0,"H",12,8,17,23,4,9,0,2,0,0,"00/01"
"D1","12/05/01","Unterhaching","Dortmund",1,4,"A",0,1,"A",18,16,16,16,8,4,2,2,0,0,"00/01"
"D1","12/05/01","Stuttgart","Schalke 04",1,0,"H",0,0,"D",12,7,13,12,2,3,2,1,0,0,"00/01"
"D1","12/05/01","Hertha","Leverkusen",1,1,"D",1,0,"H",9,12,23,23,3,7,2,5,0,0,"00/01"
"D1","12/05/01","Hansa Rostock","Munich 1860",0,0,"D",0,0,"D",11,4,11,11,7,4,0,2,0,0,"00/01"
"D1","12/05/01","Cottbus","Hamburg",4,2,"H",2,1,"H",18,17,17,13,3,7,3,4,0,0,"00/01"
"D1","12/05/01","Bochum","Freiburg",1,3,"A",0,1,"A",15,10,17,18,11,9,1,3,1,0,"00/01"
"D1","12/05/01","Bayern Munich","Kaiserslautern",2,1,"H",0,1,"A",16,4,8,10,9,0,2,2,0,0,"00/01"
"D1","12/05/01","FC Koln","Werder Bremen",1,3,"A",1,1,"D",14,15,8,16,2,4,0,1,0,0,"00/01"
"D1","06/05/01","Werder Bremen","Unterhaching",0,0,"D",0,0,"D",10,10,24,10,12,6,1,1,0,0,"00/01"
"D1","06/05/01","Freiburg","Hertha",1,0,"H",0,0,"D",11,18,11,16,5,4,1,3,0,0,"00/01"
"D1","05/05/01","Schalke 04","Wolfsburg",2,1,"H",2,0,"H",7,10,13,11,3,3,1,3,0,0,"00/01"
"D1","05/05/01","Leverkusen","Bayern Munich",0,1,"A",0,0,"D",10,6,22,17,6,5,1,2,0,0,"00/01"
"D1","05/05/01","Hansa Rostock","Cottbus",1,0,"H",1,0,"H",11,7,29,18,8,7,2,1,0,0,"00/01"
"D1","05/05/01","Hamburg","Kaiserslautern",1,1,"D",1,0,"H",9,19,22,21,1,4,3,5,1,0,"00/01"
"D1","05/05/01","Ein Frankfurt","Bochum",3,0,"H",0,0,"D",19,12,20,21,5,7,2,4,1,1,"00/01"
"D1","05/05/01","Munich 1860","FC Koln",3,1,"H",1,1,"D",21,8,16,19,8,3,2,2,0,0,"00/01"
"D1","04/05/01","Dortmund","Stuttgart",0,0,"D",0,0,"D",10,6,10,20,4,3,1,2,0,0,"00/01"
"D1","29/04/01","Unterhaching","Munich 1860",3,2,"H",2,1,"H",22,15,19,18,4,4,1,3,0,0,"00/01"
"D1","29/04/01","Hamburg","Hansa Rostock",2,1,"H",0,1,"A",21,9,22,23,5,5,4,4,0,1,"00/01"
"D1","28/04/01","Stuttgart","Werder Bremen",2,1,"H",1,0,"H",13,5,22,19,7,3,2,0,0,0,"00/01"
"D1","28/04/01","Kaiserslautern","Leverkusen",0,1,"A",0,1,"A",6,4,13,14,5,4,5,3,0,0,"00/01"
"D1","28/04/01","Hertha","Ein Frankfurt",3,0,"H",3,0,"H",17,6,20,16,6,2,1,1,0,0,"00/01"
"D1","28/04/01","Bochum","Schalke 04",1,1,"D",1,0,"H",8,15,19,13,3,6,2,1,0,0,"00/01"
"D1","28/04/01","Bayern Munich","Freiburg",1,0,"H",0,0,"D",20,6,18,11,14,9,1,0,0,0,"00/01"
"D1","28/04/01","FC Koln","Cottbus",4,0,"H",2,0,"H",18,13,17,18,2,4,1,3,0,0,"00/01"
"D1","27/04/01","Wolfsburg","Dortmund",1,1,"D",1,1,"D",15,8,17,11,7,7,4,1,0,0,"00/01"
"D1","22/04/01","Freiburg","Kaiserslautern",5,2,"H",5,0,"H",13,18,9,17,6,5,1,3,0,0,"00/01"
"D1","22/04/01","Munich 1860","Stuttgart",2,1,"H",1,1,"D",10,7,23,26,2,8,4,5,0,0,"00/01"
"D1","21/04/01","Werder Bremen","Wolfsburg",2,3,"A",1,2,"A",14,13,19,15,15,4,3,3,0,0,"00/01"
"D1","21/04/01","Schalke 04","Hertha",3,1,"H",0,1,"A",19,8,25,20,10,1,2,2,0,0,"00/01"
"D1","21/04/01","Leverkusen","Hamburg",1,1,"D",0,0,"D",18,12,26,27,7,1,2,0,1,0,"00/01"
