"Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","B365H","B365D","B365A","BWH","BWD","BWA","IWH","season"
"E2","07/05/05","Walsall","Stockport",3,0,"H",0,0,"D",18,10,7,8,11,14,4,4,1,1,0,0,1.53,3.5,5.5,1.45,3.75,6.5,1.5,"04/05"
"E2","07/05/05","Swindon","Chesterfield",1,1,"D",1,1,"D",10,5,4,3,7,6,4,1,0,0,0,0,1.8,3.25,4,1.8,3.25,4,1.8,"04/05"
"E2","07/05/05","Sheffield Weds","Bristol City",2,3,"A",0,2,"A",5,15,3,5,3,3,3,4,0,0,1,0,2.1,3.4,2.8,1.95,3.2,3.5,2,"04/05"
"E2","07/05/05","Port Vale","Peterboro",1,0,"H",0,0,"D",19,8,10,4,9,12,13,5,1,1,0,0,1.72,3.5,4,1.7,3.3,4.5,1.65,"04/05"
"E2","07/05/05","Oldham","Bradford",2,1,"H",2,1,"H",10,13,4,9,14,18,5,4,3,3,0,0,1.72,3.5,4,1.75,3.3,4.2,1.7,"04/05"
"E2","07/05/05","Milton Keynes Dons","Tranmere",2,1,"H",1,0,"H",5,7,2,4,16,19,2,7,1,2,0,0,1.9,3.5,3.25,2.1,3.45,2.9,1.9,"04/05"
"E2","07/05/05","Doncaster","Luton",3,3,"D",1,2,"A",16,9,5,4,9,16,5,6,2,1,0,0,2.75,3.25,2.25,2.9,3.2,2.2,2.7,"04/05"
"E2","07/05/05","Colchester","Torquay",2,1,"H",1,0,"H",17,8,8,3,13,12,1,3,3,1,0,0,2.5,3.4,2.3,2.35,3.25,2.65,2.5,"04/05"
"E2","07/05/05","Brentford","Hull",2,1,"H",1,1,"D",8,10,3,3,13,15,3,6,2,1,0,0,2.5,3.2,2.5,2.15,3.3,2.9,2.2,"04/05"
"E2","07/05/05","Bournemouth","Hartlepool",2,2,"D",2,1,"H",10,10,7,4,15,17,3,3,2,1,0,0,2.2,3.25,2.8,2.1,3.1,3.2,2,"04/05"
"E2","03/05/05","Wrexham","Brentford",1,2,"A",1,0,"H",9,8,5,5,16,15,9,6,1,2,0,0,2.37,3.6,2.37,2.25,3.55,2.6,2.3,"04/05"
"E2","30/04/05","Torquay","Blackpool",2,0,"H",1,0,"H",6,5,4,5,10,8,4,7,1,2,0,0,1.72,3.5,4,1.7,3.6,4.1,1.65,"04/05"
"E2","30/04/05","Stockport","Wrexham",1,4,"A",1,4,"A",11,14,7,9,11,12,8,7,1,1,0,0,2.62,3.6,2.2,2.95,3.4,2.1,2.8,"04/05"
"E2","30/04/05","Peterboro","Milton Keynes Dons",0,3,"A",0,2,"A",5,17,2,11,13,11,2,6,2,2,0,0,2.6,3.4,2.25,2.8,3.2,2.3,2.8,"04/05"
"E2","30/04/05","Luton","Brentford",4,2,"H",1,2,"A",20,7,9,4,15,25,3,5,2,4,0,0,1.9,3.5,3.25,2,3.5,3.1,2.1,"04/05"
