"Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","B365H","B365D","B365A","BWH","BWD","BWA","IWH","season"
"E3","07/05/05","Yeovil","Lincoln",3,0,"H",1,0,"H",11,4,5,0,12,19,6,0,0,0,0,0,1.57,3.6,5,1.6,3.5,5,1.55,"04/05"
"E3","07/05/05","Oxford","Chester",0,1,"A",0,0,"D",11,10,6,3,11,11,8,9,0,1,0,0,1.72,3.5,4,1.8,3.25,4,1.8,"04/05"
"E3","07/05/05","Northampton","Kidderminster",3,0,"H",0,0,"D",20,3,12,2,6,9,8,1,2,1,0,1,1.25,5,9,1.3,4.5,8.25,1.25,"04/05"
"E3","07/05/05","Macclesfield","Rushden & D",1,0,"H",0,0,"D",11,12,5,3,7,10,8,5,0,0,0,0,1.36,4.33,6.5,1.3,4.5,8.25,1.35,"04/05"
"E3","07/05/05","Leyton Orient","Mansfield",2,1,"H",2,0,"H",13,8,6,5,24,8,7,3,1,0,0,0,2.1,3.25,3,2.1,3.2,3.1,2,"04/05"
"E3","07/05/05","Darlington","Cheltenham",3,1,"H",1,1,"D",15,6,11,3,10,11,9,3,3,0,0,0,1.44,3.75,6.5,1.5,3.6,6,1.4,"04/05"
"E3","07/05/05","Cambridge","Notts County",0,0,"D",0,0,"D",15,13,7,6,10,10,7,12,1,1,0,0,2.4,3.2,2.6,2.5,3.2,2.5,2.2,"04/05"
"E3","07/05/05","Bristol Rvs","Wycombe",1,0,"H",1,0,"H",6,5,4,2,10,7,3,4,0,1,0,0,2.25,3.25,2.75,2.4,3,2.75,2.2,"04/05"
"E3","07/05/05","Boston","Rochdale",1,1,"D",0,0,"D",8,16,4,6,21,18,6,6,0,2,0,0,2.25,3.25,2.75,2.25,3.2,2.8,2.2,"04/05"
"E3","30/04/05","Wycombe","Leyton Orient",3,2,"H",3,0,"H",10,4,7,2,9,20,6,5,1,6,0,0,1.83,3.5,3.5,1.8,3.3,4,1.8,"04/05"
"E3","30/04/05","Swansea","Shrewsbury",1,0,"H",1,0,"H",8,9,4,4,15,14,2,3,0,0,0,0,1.33,4.33,7.5,1.35,4.35,7,1.3,"04/05"
"E3","30/04/05","Southend","Yeovil",0,1,"A",0,0,"D",8,9,3,3,8,7,8,3,1,0,0,0,2.25,3.25,2.75,2.25,3.2,2.8,2.2,"04/05"
"E3","30/04/05","Scunthorpe","Bristol Rvs",4,0,"H",2,0,"H",14,4,12,2,9,18,8,2,2,2,0,1,1.33,4.33,7.5,1.35,4.35,7,1.35,"04/05"
"E3","30/04/05","Rushden & D","Cambridge",0,1,"A",0,1,"A",20,10,12,3,13,8,8,3,1,0,0,0,1.8,3.25,4,1.7,3.4,4.3,1.7,"04/05"
"E3","30/04/05","Rochdale","Oxford",5,1,"H",4,0,"H",15,20,10,12,22,18,3,5,1,2,0,0,1.9,3.25,3.5,1.9,3.25,3.6,1.9,"04/05"
"E3","30/04/05","Notts County","Bury",0,1,"A",0,0,"D",6,21,2,13,22,10,3,5,1,1,0,0,2.2,3.25,2.8,2.2,3.25,2.85,2.2,"04/05"
"E3","30/04/05","Mansfield","Boston",3,2,"H",0,0,"D",12,10,7,4,11,10,5,2,0,1,0,0,2,3.25,3.25,2,3.25,3.3,2,"04/05"
"E3","30/04/05","Lincoln","Darlington",0,0,"D",0,0,"D",8,2,2,1,15,9,13,4,2,1,0,0,2.1,3.25,3,1.8,3.25,4,1.9,"04/05"
"E3","30/04/05","Kidderminster","Grimsby",1,4,"A",0,2,"A",10,7,6,4,12,16,10,2,0,1,0,0,2.37,3.2,2.62,2.2,3.5,2.7,2.3,"04/05"
"E3","30/04/05","Chester","Northampton",0,2,"A",0,1,"A",5,9,1,6,11,16,2,8,1,4,0,0,3,3.5,2,3.5,3.35,1.9,3.2,"04/05"
"E3","30/04/05","Cheltenham","Macclesfield",3,0,"H",1,0,"H",15,6,7,2,13,12,11,3,0,1,0,0,2.75,3.4,2.2,2.75,3.3,2.25,2.8,"04/05"
"E3","23/04/05","Yeovil","Wycombe",1,1,"D",1,1,"D",15,10,4,4,16,19,7,4,2,2,0,0,1.61,3.6,4.5,1.6,3.45,5,1.55,"04/05"
"E3","23/04/05","Shrewsbury","Notts County",1,1,"D",0,1,"A",12,13,5,6,8,14,7,4,1,1,0,0,2.2,3.25,2.8,2.15,3.2,3,2.1,"04/05"
"E3","23/04/05","Oxford","Southend",2,1,"H",2,0,"H",5,15,4,10,23,12,3,8,1,3,0,0,3,3.25,2.1,3,3.2,2.15,3.1,"04/05"
"E3","23/04/05","Northampton","Lincoln",1,0,"H",0,0,"D",8,5,5,1,10,19,9,6,1,2,0,0,2.25,3.5,2.6,2.1,3.3,3,2.2,"04/05"
"E3","23/04/05","Macclesfield","Mansfield",3,1,"H",1,0,"H",8,12,6,6,15,14,5,7,3,1,0,0,1.57,3.6,5,1.6,3.5,5,1.55,"04/05"
"E3","23/04/05","Leyton Orient","Chester",2,0,"H",2,0,"H",9,1,2,1,10,15,5,5,1,2,0,2,1.83,3.25,3.75,1.8,3.4,3.85,1.85,"04/05"
"E3","23/04/05","Grimsby","Scunthorpe",0,0,"D",0,0,"D",8,10,3,3,20,11,5,11,2,1,0,0,2.8,3.5,2.1,2.9,3.3,2.15,2.8,"04/05"
"E3","23/04/05","Darlington","Rushden & D",2,0,"H",0,0,"D",7,9,2,6,15,16,7,7,1,2,0,0,1.57,3.6,5,1.6,3.5,5,1.55,"04/05"
"E3","23/04/05","Cambridge","Rochdale",0,0,"D",0,0,"D",11,13,7,4,15,15,7,6,0,2,0,0,2.75,3.4,2.2,2.8,3.35,2.2,2.9,"04/05"
"E3","23/04/05","Bury","Cheltenham",3,1,"H",3,0,"H",10,4,4,1,12,10,2,5,0,0,0,0,2.2,3.25,2.8,2.15,3.2,3,2.1,"04/05"
"E3","23/04/05","Bristol Rvs","Swansea",2,0,"H",2,0,"H",10,12,5,7,20,15,4,8,0,2,1,1,3,3.25,2.1,3,3.2,2.15,2.9,"04/05"
"E3","23/04/05","Boston","Kidderminster",3,0,"H",2,0,"H",6,9,6,5,14,13,4,5,0,2,1,0,2,3.5,3,2,3.2,3.35,2.1,"04/05"
"E3","19/04/05","Macclesfield","Southend",1,2,"A",1,1,"D",9,12,3,6,16,15,3,1,1,0,0,0,2.25,3.25,2.75,2.05,3.2,3.2,2.3,"04/05"
"E3","16/04/05","Wycombe","Bury",1,2,"A",1,1,"D",14,5,8,2,14,12,10,4,2,3,0,0,1.61,3.6,4.5,1.6,3.6,4.8,1.6,"04/05"
"E3","16/04/05","Scunthorpe","Cambridge",4,0,"H",1,0,"H",17,7,7,4,10,13,8,9,0,1,0,0,1.4,4,6.5,1.4,3.75,7.5,1.4,"04/05"
"E3","16/04/05","Rushden & D","Boston",4,2,"H",1,2,"A",11,14,9,8,21,20,2,7,2,4,1,0,2.1,3.6,2.75,2.1,3.25,3.05,2,"04/05"
"E3","16/04/05","Rochdale","Shrewsbury",1,1,"D",1,1,"D",25,7,17,5,8,14,6,5,2,1,0,0,1.66,3.5,4.33,1.65,3.5,4.5,1.7,"04/05"
"E3","16/04/05","Notts County","Grimsby",2,2,"D",0,1,"A",25,7,17,5,8,14,6,5,2,1,0,0,2.1,3.25,3,2.1,3.1,3.2,2,"04/05"
"E3","16/04/05","Mansfield","Darlington",1,1,"D",0,0,"D",10,7,6,4,11,13,5,8,1,2,0,0,2.37,3.4,2.5,2.4,3.2,2.6,2.4,"04/05"
"E3","16/04/05","Lincoln","Macclesfield",2,0,"H",1,0,"H",10,11,6,6,14,11,7,6,1,2,0,0,2.1,3.25,3,2.15,3.2,3,2.1,"04/05"
"E3","16/04/05","Kidderminster","Yeovil",1,1,"D",0,0,"D",12,7,7,2,22,20,7,4,3,2,0,0,3.5,3.5,1.83,3.5,3.35,1.9,3.5,"04/05"
"E3","16/04/05","Chester","Bristol Rvs",2,2,"D",0,2,"A",10,12,3,6,16,18,6,6,2,3,0,0,2.2,3.25,2.8,2.15,3.2,3,2.2,"04/05"
"E3","16/04/05","Cheltenham","Northampton",1,0,"H",1,0,"H",10,12,4,4,12,18,5,8,2,1,0,0,2.5,3.4,2.37,2.65,3.3,2.3,2.6,"04/05"
"E3","15/04/05","Swansea","Oxford",1,0,"H",1,0,"H",12,8,7,3,17,23,6,2,1,3,0,1,1.53,3.5,5.5,1.55,3.5,5.5,1.5,"04/05"
"E3","15/04/05","Southend","Leyton Orient",0,1,"A",0,1,"A",12,9,6,4,7,24,5,7,4,2,0,0,1.5,3.5,6,1.5,3.6,6,1.45,"04/05"
"E3","09/04/05","Yeovil","Mansfield",5,2,"H",1,1,"D",12,4,9,3,12,16,3,5,1,1,0,0,1.57,3.4,5.5,1.45,3.75,6.5,1.55,"04/05"
"E3","09/04/05","Rochdale","Leyton Orient",2,0,"H",0,0,"D",12,16,6,7,13,21,5,8,0,2,0,0,1.9,3.25,3.5,1.9,3.2,3.65,1.9,"04/05"
"E3","09/04/05","Oxford","Notts County",2,1,"H",0,1,"A",9,10,6,4,13,20,4,4,3,2,0,0,1.9,3.25,3.5,2,3.2,3.35,1.9,"04/05"
"E3","09/04/05","Northampton","Scunthorpe",1,2,"A",1,2,"A",6,15,4,9,9,11,2,5,1,2,0,0,2.2,3.25,2.8,2.1,3.1,3.2,2.1,"04/05"
"E3","09/04/05","Lincoln","Swansea",1,0,"H",0,0,"D",12,15,8,9,21,18,14,7,2,2,0,0,2.2,3.25,2.8,2.25,3.2,2.8,2.2,"04/05"
"E3","09/04/05","Kidderminster","Bury",2,2,"D",1,1,"D",8,6,6,2,17,13,6,5,0,1,0,0,2.2,3.4,2.75,2.1,3.3,3,2.2,"04/05"
"E3","09/04/05","Grimsby","Wycombe",0,0,"D",0,0,"D",5,7,1,3,11,8,1,7,1,2,0,0,2.4,3.2,2.6,2.4,3.2,2.6,2.4,"04/05"
"E3","09/04/05","Chester","Boston",2,1,"H",1,1,"D",13,11,5,3,14,21,10,4,3,5,0,0,2.25,3.4,2.62,2.25,3.2,2.8,2.2,"04/05"
"E3","09/04/05","Cambridge","Darlington",3,1,"H",1,1,"D",9,10,6,5,15,7,2,11,0,0,0,0,3.25,3.25,2,2.75,3.4,2.2,3.1,"04/05"
"E3","09/04/05","Bristol Rvs","Rushden & D",3,0,"H",1,0,"H",19,8,6,3,11,10,7,3,0,0,0,0,2.1,3.25,3,1.95,3,3.75,1.9,"04/05"
"E3","08/04/05","Cheltenham","Shrewsbury",1,1,"D",0,0,"D",15,8,9,5,14,12,11,4,1,3,0,0,1.83,3.25,3.75,1.7,3.3,4.5,1.8,"04/05"
"E3","06/04/05","Oxford","Macclesfield",1,1,"D",1,0,"H",14,12,9,8,15,10,6,4,2,1,0,0,2.5,3.2,2.5,2.4,3.2,2.6,2.45,"04/05"
"E3","02/04/05","Wycombe","Kidderminster",3,0,"H",2,0,"H",12,6,3,0,9,19,8,5,1,2,0,0,1.72,3.5,4,1.75,3.3,4.2,1.7,"04/05"
"E3","02/04/05","Swansea","Cambridge",3,0,"H",0,0,"D",13,8,5,3,12,14,4,4,0,0,0,0,1.4,3.75,7.5,1.45,3.5,7.25,1.4,"04/05"
