"Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","season"
"24/05/97","Toulon","St Brieuc",1,0,"H","96/97"
"24/05/97","St Etienne","Troyes",0,0,"D","96/97"
"24/05/97","Perpignan","Red Star 93",2,2,"D","96/97"
"24/05/97","Niort","Louhans-Cuis.",1,2,"A","96/97"
"24/05/97","Martigues","Amiens",2,0,"H","96/97"
"24/05/97","Lorient","Charleville",0,2,"A","96/97"
"24/05/97","Laval","Sochaux",4,1,"H","96/97"
"24/05/97","Gueugnon","Mulhouse",4,3,"H","96/97"
"24/05/97","Epinal","Toulouse",1,2,"A","96/97"
"24/05/97","Chateauroux","Le Mans",1,1,"D","96/97"
"24/05/97","Beauvais","Valence",0,0,"D","96/97"
"17/05/97","Valence","St Etienne",3,1,"H","96/97"
"17/05/97","Troyes","Laval",2,0,"H","96/97"
"17/05/97","Toulouse","Martigues",1,2,"A","96/97"
"17/05/97","St Brieuc","Gueugnon",0,1,"A","96/97"
"17/05/97","Red Star 93","Niort",3,1,"H","96/97"
"17/05/97","Mulhouse","Perpignan",6,1,"H","96/97"
"17/05/97","Louhans-Cuis.","Sochaux",2,0,"H","96/97"
"17/05/97","Le Mans","Epinal",5,1,"H","96/97"
"17/05/97","Chateauroux","Lorient",4,0,"H","96/97"
"17/05/97","Charleville","Beauvais",2,2,"D","96/97"
"17/05/97","Amiens","Toulon",1,0,"H","96/97"
"09/05/97","St Etienne","Charleville",1,1,"D","96/97"
"09/05/97","Sochaux","Troyes",2,1,"H","96/97"
"09/05/97","Perpignan","St Brieuc",1,0,"H","96/97"
"09/05/97","Niort","Mulhouse",1,1,"D","96/97"
"09/05/97","Martigues","Le Mans",1,3,"A","96/97"
"09/05/97","Lorient","Louhans-Cuis.",4,0,"H","96/97"
"09/05/97","Laval","Valence",4,1,"H","96/97"
"09/05/97","Gueugnon","Amiens",4,2,"H","96/97"
"09/05/97","Epinal","Chateauroux",0,3,"A","96/97"
"09/05/97","Beauvais","Red Star 93",3,2,"H","96/97"
"08/05/97","Toulon","Toulouse",1,3,"A","96/97"
"03/05/97","Valence","Troyes",3,1,"H","96/97"
"03/05/97","Toulouse","Gueugnon",4,1,"H","96/97"
"03/05/97","St Brieuc","Niort",0,1,"A","96/97"
"03/05/97","Red Star 93","Lorient",2,1,"H","96/97"
"03/05/97","Mulhouse","Beauvais",1,2,"A","96/97"
"03/05/97","Louhans-Cuis.","St Etienne",3,0,"H","96/97"
"03/05/97","Le Mans","Toulon",1,1,"D","96/97"
"03/05/97","Epinal","Sochaux",0,1,"A","96/97"
"03/05/97","Chateauroux","Martigues",1,0,"H","96/97"
"03/05/97","Charleville","Laval",0,1,"A","96/97"
"03/05/97","Amiens","Perpignan",2,2,"D","96/97"
"30/04/97","Troyes","Charleville",1,1,"D","96/97"
"30/04/97","Toulon","Chateauroux",0,1,"A","96/97"
"30/04/97","St Etienne","Red Star 93",3,3,"D","96/97"
"30/04/97","Sochaux","Valence",0,1,"A","96/97"
"30/04/97","Perpignan","Toulouse",0,1,"A","96/97"
"30/04/97","Niort","Amiens",1,0,"H","96/97"
"30/04/97","Martigues","Epinal",4,0,"H","96/97"
"30/04/97","Lorient","Mulhouse",0,0,"D","96/97"
"30/04/97","Laval","Louhans-Cuis.",0,0,"D","96/97"
"30/04/97","Gueugnon","Le Mans",3,1,"H","96/97"
"30/04/97","Beauvais","St Brieuc",1,0,"H","96/97"
"26/04/97","St Brieuc","Lorient",0,1,"A","96/97"
"26/04/97","Red Star 93","Laval",0,0,"D","96/97"
"26/04/97","Mulhouse","St Etienne",1,1,"D","96/97"
"26/04/97","Martigues","Sochaux",0,1,"A","96/97"
"26/04/97","Louhans-Cuis.","Troyes",1,1,"D","96/97"
