"Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","season"
"04/06/95","Panathinaikos","Doxa",5,0,"H","94/95"
"04/06/95","Olympiakos","Larisa",4,3,"H","94/95"
"04/06/95","Levadiakos","Apollon",1,2,"A","94/95"
"04/06/95","Kavala","Xanthi",1,4,"A","94/95"
"04/06/95","Ionikos","Ethnikos",0,3,"A","94/95"
"04/06/95","Edessaikos","Iraklis",1,3,"A","94/95"
"04/06/95","Athinaikos","PAOK",1,2,"A","94/95"
"04/06/95","Aris","Panionios",2,0,"H","94/95"
"03/06/95","OFI","AEK",1,2,"A","94/95"
"28/05/95","Xanthi","Aris",1,2,"A","94/95"
"28/05/95","PAOK","OFI",1,0,"H","94/95"
"28/05/95","Panionios","Olympiakos",0,3,"A","94/95"
"28/05/95","Kavala","Athinaikos",3,0,"H","94/95"
"28/05/95","Iraklis","Apollon",3,0,"H","94/95"
"28/05/95","Ethnikos","Edessaikos",3,0,"H","94/95"
"28/05/95","Doxa","Levadiakos",2,2,"D","94/95"
"28/05/95","AEK","Ionikos",0,0,"D","94/95"
"27/05/95","Larisa","Panathinaikos",0,1,"A","94/95"
"21/05/95","Panathinaikos","Panionios",6,1,"H","94/95"
"21/05/95","Olympiakos","Aris",2,1,"H","94/95"
"21/05/95","OFI","Kavala",2,0,"H","94/95"
"21/05/95","Levadiakos","Larisa",1,2,"A","94/95"
"21/05/95","Iraklis","Doxa",3,1,"H","94/95"
"21/05/95","Ionikos","PAOK",0,2,"A","94/95"
"21/05/95","Edessaikos","AEK",2,1,"H","94/95"
"21/05/95","Athinaikos","Xanthi",2,2,"D","94/95"
"21/05/95","Apollon","Ethnikos",3,0,"H","94/95"
"14/05/95","Xanthi","Olympiakos",3,2,"H","94/95"
"14/05/95","PAOK","Edessaikos",2,1,"H","94/95"
"14/05/95","Panionios","Levadiakos",3,0,"H","94/95"
"14/05/95","Larisa","Iraklis",1,3,"A","94/95"
"14/05/95","Kavala","Ionikos",1,1,"D","94/95"
"14/05/95","Ethnikos","Doxa",1,0,"H","94/95"
"14/05/95","Athinaikos","OFI",1,0,"H","94/95"
"14/05/95","Aris","Panathinaikos",2,1,"H","94/95"
"14/05/95","AEK","Apollon",1,2,"A","94/95"
"10/05/95","Panathinaikos","Olympiakos",1,1,"D","94/95"
"10/05/95","OFI","Xanthi",2,1,"H","94/95"
"10/05/95","Levadiakos","Aris",0,2,"A","94/95"
"10/05/95","Iraklis","Panionios",4,1,"H","94/95"
"10/05/95","Ionikos","Athinaikos",1,0,"H","94/95"
"10/05/95","Ethnikos","Larisa",3,2,"H","94/95"
"10/05/95","Edessaikos","Kavala",5,0,"H","94/95"
"10/05/95","Apollon","PAOK",2,1,"H","94/95"
"09/05/95","Doxa","AEK",0,1,"A","94/95"
"30/04/95","PAOK","Doxa",1,0,"H","94/95"
"30/04/95","Panionios","Ethnikos",0,0,"D","94/95"
"30/04/95","Olympiakos","Levadiakos",4,0,"H","94/95"
"30/04/95","OFI","Ionikos",3,0,"H","94/95"
"30/04/95","Kavala","Apollon",0,2,"A","94/95"
"30/04/95","Athinaikos","Edessaikos",2,1,"H","94/95"
"30/04/95","Aris","Iraklis",1,1,"D","94/95"
"30/04/95","AEK","Larisa",2,0,"H","94/95"
"29/04/95","Xanthi","Panathinaikos",3,2,"H","94/95"
