"Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","B365H","B365D","B365A","BWH","BWD","BWA","IWH","IWD","IWA","LBH","LBD","LBA","season"
"SP1","20/05/06","Ath Bilbao","Barcelona",3,1,"H",0,1,"A",15,13,6,4,16,9,5,1,0,1,0,0,2.3,3.25,3,2.35,3.3,2.7,2.4,3,2.6,2.2,3.25,2.75,"05/06"
"SP1","16/05/06","Sevilla","Real Madrid",4,3,"H",4,2,"H",20,18,9,8,16,15,8,4,4,4,0,0,2.5,3.4,2.6,2.4,3.4,2.55,2.4,3.3,2.6,2.38,3.2,2.6,"05/06"
"SP1","16/05/06","Osasuna","Valencia",2,1,"H",0,0,"D",17,13,7,7,18,12,3,6,1,2,0,0,2.7,3.2,2.5,2.5,3.4,2.45,2.5,3.3,2.5,2.5,3.2,2.5,"05/06"
"SP1","13/05/06","Villarreal","Santander",2,0,"H",1,0,"H",12,13,6,6,14,18,7,8,1,2,0,0,1.53,3.6,5.5,1.55,3.4,6.25,1.6,3.3,4.8,1.57,3.5,5,"05/06"
"SP1","13/05/06","Sevilla","Barcelona",3,2,"H",2,2,"D",16,16,4,4,16,20,8,4,4,1,0,1,1.9,3.25,3.5,1.9,3.25,3.75,1.9,3.2,3.4,1.8,3.4,3.6,"05/06"
"SP1","13/05/06","Mallorca","Zaragoza",3,1,"H",1,1,"D",20,12,10,5,15,10,4,4,2,1,0,0,2.1,3.25,3,2.25,3.1,3,2.1,3,3.1,2.2,3.25,2.75,"05/06"
"SP1","13/05/06","Espanol","Sociedad",1,0,"H",0,0,"D",22,9,4,3,19,20,7,5,1,3,0,0,1.44,4,6,1.55,3.6,5.6,1.55,3.3,5.2,1.44,3.75,6,"05/06"
"SP1","13/05/06","Celta","Getafe",1,0,"H",1,0,"H",13,6,5,1,14,25,6,4,4,1,0,1,1.8,3.4,3.75,1.8,3.3,4.1,1.9,3.1,3.5,1.73,3.2,4.33,"05/06"
"SP1","13/05/06","Cadiz","Malaga",5,0,"H",1,0,"H",12,13,7,3,15,18,9,3,0,1,0,0,1.83,3.25,3.75,1.75,3.45,4.15,1.75,3.1,4.2,1.73,3.2,4.33,"05/06"
"SP1","13/05/06","Ath Madrid","Betis",1,1,"D",1,0,"H",12,17,7,4,22,18,6,5,1,4,0,0,1.72,3.4,4.2,1.75,3.3,4.4,1.85,3.1,3.6,1.73,3.2,4.33,"05/06"
"SP1","13/05/06","Alaves","La Coruna",1,0,"H",0,0,"D",16,11,8,0,18,25,6,2,2,2,0,0,2.1,3.25,3,2.1,3.4,3,2,3.3,3,2.2,3.25,2.75,"05/06"
"SP1","07/05/06","Zaragoza","Alaves",3,0,"H",0,0,"D",15,10,7,4,16,21,6,6,1,2,0,0,2.4,3.25,2.8,2.25,3.4,2.75,2.3,3.2,2.5,2.25,3.2,2.75,"05/06"
"SP1","07/05/06","Sociedad","Celta",2,2,"D",2,1,"H",15,5,7,3,13,18,2,5,3,1,0,0,2.4,3.25,2.8,2.6,3.15,2.5,2.5,3.2,2.5,2.5,3.2,2.5,"05/06"
