"Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","season"
"15/06/97","Toledo","Las Palmas",0,3,"A","96/97"
"15/06/97","Mallorca","Villarreal",2,0,"H","96/97"
"15/06/97","Lleida","Ecija",4,0,"H","96/97"
"15/06/97","Levante","Barcelona B",4,0,"H","96/97"
"15/06/97","Leganes","Albacete",2,1,"H","96/97"
"15/06/97","Eibar","Osasuna",1,1,"D","96/97"
"15/06/97","Badajoz","Ath Madrid B",4,4,"D","96/97"
"15/06/97","Almeria","Orense",2,3,"A","96/97"
"15/06/97","Alaves","Salamanca",0,4,"A","96/97"
"14/06/97","Real Madrid B","Merida",4,0,"H","96/97"
"01/06/97","Villarreal","Badajoz",0,3,"A","96/97"
"01/06/97","Salamanca","Mallorca",3,1,"H","96/97"
"01/06/97","Orense","Toledo",0,1,"A","96/97"
"01/06/97","Merida","Leganes",2,0,"H","96/97"
"01/06/97","Ecija","Eibar",0,2,"A","96/97"
"01/06/97","Albacete","Almeria",1,0,"H","96/97"
"31/05/97","Osasuna","Levante",1,0,"H","96/97"
"31/05/97","Las Palmas","Lleida",1,1,"D","96/97"
"31/05/97","Barcelona B","Alaves",2,3,"A","96/97"
"31/05/97","Ath Madrid B","Real Madrid B",3,0,"H","96/97"
"25/05/97","Toledo","Albacete",0,4,"A","96/97"
"25/05/97","Mallorca","Barcelona B",2,0,"H","96/97"
"25/05/97","Lleida","Orense",3,0,"H","96/97"
"25/05/97","Levante","Ecija",0,2,"A","96/97"
"25/05/97","Leganes","Real Madrid B",0,1,"A","96/97"
"25/05/97","Badajoz","Salamanca",0,1,"A","96/97"
"25/05/97","Almeria","Merida",1,3,"A","96/97"
"25/05/97","Alaves","Osasuna",0,1,"A","96/97"
"24/05/97","Eibar","Las Palmas",0,0,"D","96/97"
"24/05/97","Ath Madrid B","Villarreal",0,1,"A","96/97"
"21/05/97","Leganes","Merida",1,1,"D","96/97"
"18/05/97","Salamanca","Ath Madrid B",4,2,"H","96/97"
"18/05/97","Osasuna","Mallorca",1,0,"H","96/97"
"18/05/97","Leganes","Almeria",3,0,"H","96/97"
"18/05/97","Ecija","Alaves",1,1,"D","96/97"
"18/05/97","Albacete","Lleida",0,1,"A","96/97"
"17/05/97","Real Madrid B","Villarreal",1,1,"D","96/97"
"17/05/97","Orense","Eibar",1,2,"A","96/97"
"17/05/97","Merida","Toledo",3,1,"H","96/97"
"17/05/97","Las Palmas","Levante",4,2,"H","96/97"
"17/05/97","Barcelona B","Badajoz",1,0,"H","96/97"
"11/05/97","Villarreal","Salamanca",2,2,"D","96/97"
"11/05/97","Toledo","Leganes",0,1,"A","96/97"
"11/05/97","Mallorca","Ecija",2,1,"H","96/97"
"11/05/97","Lleida","Merida",0,0,"D","96/97"
"11/05/97","Eibar","Albacete",1,0,"H","96/97"
"11/05/97","Almeria","Real Madrid B",3,0,"H","96/97"
"11/05/97","Alaves","Las Palmas",1,1,"D","96/97"
"10/05/97","Levante","Orense",2,1,"H","96/97"
"10/05/97","Badajoz","Osasuna",0,1,"A","96/97"
"10/05/97","Ath Madrid B","Barcelona B",2,2,"D","96/97"
"04/05/97","Osasuna","Ath Madrid B",0,3,"A","96/97"
"04/05/97","Merida","Eibar",2,1,"H","96/97"
"04/05/97","Leganes","Lleida",3,2,"H","96/97"
"04/05/97","Ecija","Badajoz",1,2,"A","96/97"
"04/05/97","Almeria","Toledo",2,0,"H","96/97"
"04/05/97","Albacete","Levante",1,0,"H","96/97"
"03/05/97","Real Madrid B","Salamanca",0,0,"D","96/97"
"03/05/97","Orense","Alaves",0,1,"A","96/97"
"03/05/97","Las Palmas","Mallorca",2,2,"D","96/97"
"03/05/97","Barcelona B","Villarreal",2,2,"D","96/97"
