"Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","season"
"08/05/94","Willem II","Ajax",2,1,"H","93/94"
"08/05/94","VVV Venlo","Waalwijk",0,2,"A","93/94"
"08/05/94","Volendam","PSV Eindhoven",3,2,"H","93/94"
"08/05/94","Twente","Cambuur",4,1,"H","93/94"
"08/05/94","NAC Breda","Utrecht",2,2,"D","93/94"
"08/05/94","Heerenveen","MVV Maastricht",3,1,"H","93/94"
"08/05/94","Groningen","Vitesse",0,0,"D","93/94"
"08/05/94","Feyenoord","Roda JC",2,1,"H","93/94"
"07/05/94","Go Ahead Eagles","Sparta",1,5,"A","93/94"
"03/05/94","Feyenoord","PSV Eindhoven",2,1,"H","93/94"
"03/05/94","Ajax","Groningen",0,2,"A","93/94"
"01/05/94","Waalwijk","Willem II",1,0,"H","93/94"
"01/05/94","Vitesse","Volendam",2,1,"H","93/94"
"01/05/94","Utrecht","Feyenoord",0,0,"D","93/94"
"01/05/94","Sparta","Groningen",3,0,"H","93/94"
"01/05/94","Roda JC","Twente",1,4,"A","93/94"
"01/05/94","PSV Eindhoven","NAC Breda",3,1,"H","93/94"
"01/05/94","MVV Maastricht","Go Ahead Eagles",2,2,"D","93/94"
"01/05/94","Cambuur","VVV Venlo",2,1,"H","93/94"
"01/05/94","Ajax","Heerenveen",2,1,"H","93/94"
"27/04/94","Waalwijk","Vitesse",0,0,"D","93/94"
"27/04/94","VVV Venlo","Heerenveen",1,1,"D","93/94"
"27/04/94","Roda JC","Ajax",1,2,"A","93/94"
"27/04/94","PSV Eindhoven","Sparta",2,1,"H","93/94"
"27/04/94","NAC Breda","Volendam",3,1,"H","93/94"
"27/04/94","Feyenoord","Groningen",2,2,"D","93/94"
"27/04/94","Cambuur","Willem II",0,1,"A","93/94"
"24/04/94","Waalwijk","Cambuur",3,0,"H","93/94"
"24/04/94","Volendam","Sparta",2,1,"H","93/94"
"24/04/94","Twente","Utrecht",1,0,"H","93/94"
"24/04/94","Groningen","MVV Maastricht",3,2,"H","93/94"
"24/04/94","Go Ahead Eagles","Ajax",0,3,"A","93/94"
"23/04/94","VVV Venlo","Roda JC",2,2,"D","93/94"
"23/04/94","NAC Breda","Vitesse",2,2,"D","93/94"
"23/04/94","Heerenveen","Willem II",1,2,"A","93/94"
"17/04/94","Vitesse","Feyenoord",1,2,"A","93/94"
"17/04/94","Utrecht","VVV Venlo",2,3,"A","93/94"
"17/04/94","Roda JC","Cambuur",1,1,"D","93/94"
"17/04/94","Ajax","Twente",6,0,"H","93/94"
"16/04/94","Willem II","Go Ahead Eagles",0,0,"D","93/94"
"16/04/94","Sparta","NAC Breda",0,0,"D","93/94"
"16/04/94","MVV Maastricht","Volendam",1,1,"D","93/94"
"16/04/94","Heerenveen","Waalwijk",0,3,"A","93/94"
"14/04/94","PSV Eindhoven","Twente",3,2,"H","93/94"
"12/04/94","Volendam","Ajax",1,0,"H","93/94"
"10/04/94","Waalwijk","Roda JC",1,1,"D","93/94"
"10/04/94","Twente","Vitesse",0,1,"A","93/94"
"10/04/94","NAC Breda","MVV Maastricht",1,4,"A","93/94"
"10/04/94","Groningen","Willem II",4,1,"H","93/94"
"10/04/94","Feyenoord","Sparta",5,1,"H","93/94"
"09/04/94","Go Ahead Eagles","Heerenveen",2,3,"A","93/94"
"09/04/94","Cambuur","Utrecht",2,1,"H","93/94"
"08/04/94","VVV Venlo","PSV Eindhoven",0,3,"A","93/94"
"06/04/94","Ajax","NAC Breda",5,0,"H","93/94"
"05/04/94","Heerenveen","Groningen",2,0,"H","93/94"
"04/04/94","Willem II","Volendam",0,2,"A","93/94"
"04/04/94","Vitesse","VVV Venlo",4,0,"H","93/94"
"04/04/94","Utrecht","Roda JC",1,1,"D","93/94"
"04/04/94","Sparta","Twente",2,5,"A","93/94"
"02/04/94","PSV Eindhoven","Cambuur",2,0,"H","93/94"
"02/04/94","Go Ahead Eagles","Waalwijk",2,0,"H","93/94"
"01/04/94","MVV Maastricht","Feyenoord",1,1,"D","93/94"
"31/03/94","Twente","Willem II",4,0,"H","93/94"
"27/03/94","Waalwijk","Utrecht",3,0,"H","93/94"
"27/03/94","Volendam","Heerenveen",3,0,"H","93/94"
"27/03/94","Twente","MVV Maastricht",4,2,"H","93/94"
"27/03/94","Groningen","Go Ahead Eagles",3,1,"H","93/94"
