"Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","season"
"SC0","20/05/01","Rangers","Hibernian",4,0,"H",2,0,"H",20,6,12,"1",12,11,9,2,1,0,0,0,"00/01"
"SC0","20/05/01","Motherwell","St Mirren",3,3,"D",1,1,"D",19,12,8,"7",13,3,7,2,1,0,0,1,"00/01"
"SC0","20/05/01","Kilmarnock","Celtic",1,0,"H",0,0,"D",5,11,3,"3",11,16,3,4,1,1,0,0,"00/01"
"SC0","20/05/01","Hearts","Dundee",2,0,"H",0,0,"D",11,8,7,"3",14,7,7,5,0,1,0,0,"00/01"
"SC0","20/05/01","Dunfermline","St Johnstone",0,0,"D",0,0,"D",9,5,3,"0",10,17,2,5,3,1,0,0,"00/01"
"SC0","20/05/01","Aberdeen","Dundee United",1,2,"A",0,2,"A",11,12,5,"6",4,17,6,4,1,3,0,0,"00/01"
"SC0","13/05/01","Hibernian","Hearts",0,0,"D",0,0,"D",16,5,3,"1",14,22,7,4,3,2,0,1,"00/01"
"SC0","13/05/01","Celtic","Dundee",0,2,"A",0,2,"A",15,5,5,"3",13,13,15,2,1,3,0,1,"00/01"
"SC0","12/05/01","St Mirren","Aberdeen",2,1,"H",2,1,"H",16,5,11,"1",10,14,3,2,0,0,0,1,"00/01"
"SC0","12/05/01","St Johnstone","Dundee United",2,3,"A",2,0,"H",4,8,3,"5",15,13,4,4,3,2,1,0,"00/01"
"SC0","12/05/01","Rangers","Kilmarnock",5,1,"H",1,0,"H",16,7,11,"4",5,5,5,6,0,1,0,0,"00/01"
"SC0","12/05/01","Dunfermline","Motherwell",1,2,"A",1,2,"A",10,10,1,"5",10,13,5,2,0,0,1,0,"00/01"
"SC0","06/05/01","Hibernian","Celtic",2,5,"A",0,2,"A",16,11,8,"10",9,16,0,8,2,1,0,1,"00/01"
"SC0","06/05/01","Dundee United","Dunfermline",1,0,"H",1,0,"H",11,6,7,"2",14,16,6,2,1,0,0,0,"00/01"
"SC0","05/05/01","St Johnstone","St Mirren",2,2,"D",1,2,"A",19,9,7,"6",18,9,7,2,4,2,0,1,"00/01"
"SC0","05/05/01","Motherwell","Aberdeen",0,2,"A",0,1,"A",21,15,10,"8",18,17,7,4,0,1,0,0,"00/01"
"SC0","05/05/01","Hearts","Rangers",1,4,"A",0,1,"A",12,24,5,"12",11,18,6,5,1,1,1,1,"00/01"
"SC0","05/05/01","Dundee","Kilmarnock",2,1,"H",1,0,"H",11,7,5,"1",7,11,8,0,1,3,0,0,"00/01"
"SC0","29/04/01","Rangers","Celtic",0,3,"A",0,0,"D",13,7,4,"6",18,19,3,3,3,1,0,0,"00/01"
"SC0","29/04/01","Dundee","Hibernian",0,2,"A",0,0,"D",10,8,2,"5",12,17,5,2,1,1,0,0,"00/01"
"SC0","28/04/01","St Johnstone","Aberdeen",0,3,"A",0,2,"A",4,7,0,"3",16,15,2,3,1,2,0,0,"00/01"
"SC0","28/04/01","Dunfermline","St Mirren",1,2,"A",0,2,"A",18,11,6,"6",13,9,5,6,2,3,0,0,"00/01"
"SC0","28/04/01","Dundee United","Motherwell",1,0,"H",1,0,"H",10,2,5,"0",11,18,6,3,1,3,0,1,"00/01"
"SC0","27/04/01","Kilmarnock","Hearts",1,1,"D",0,0,"D",15,2,7,"1",16,12,5,3,1,2,0,0,"00/01"
"SC0","23/04/01","St Mirren","Dundee United",2,1,"H",0,0,"D",13,11,8,"5",14,17,7,5,1,1,0,0,"00/01"
"SC0","22/04/01","Celtic","Hearts",1,0,"H",0,0,"D",22,6,9,"3",6,11,12,1,0,1,0,0,"00/01"
"SC0","21/04/01","Motherwell","St Johnstone",0,1,"A",0,0,"D",11,14,2,"3",17,17,2,5,0,1,0,0,"00/01"
"SC0","21/04/01","Hibernian","Kilmarnock",1,1,"D",1,1,"D",11,8,3,"2",13,11,6,6,0,4,0,0,"00/01"
"SC0","21/04/01","Dundee","Rangers",0,3,"A",0,3,"A",8,11,5,"7",7,12,3,3,0,0,0,0,"00/01"
"SC0","21/04/01","Aberdeen","Dunfermline",1,0,"H",1,0,"H",15,6,8,"5",13,13,6,6,1,3,0,0,"00/01"
"SC0","11/04/01","Kilmarnock","Rangers",1,2,"A",0,2,"A",8,8,3,"5",10,20,3,7,1,4,0,0,"00/01"
"SC0","08/04/01","Hibernian","Rangers",0,0,"D",0,0,"D",10,10,4,"3",13,24,2,6,4,3,0,0,"00/01"
"SC0","07/04/01","Motherwell","St Johnstone",1,0,"H",1,0,"H",15,16,6,"4",18,14,4,4,0,0,0,0,"00/01"
"SC0","07/04/01","Kilmarnock","Dunfermline",2,1,"H",1,0,"H",7,5,4,"2",8,10,4,4,0,0,0,0,"00/01"
"SC0","07/04/01","Dundee United","Hearts",1,1,"D",1,0,"H",12,3,6,"2",18,10,5,4,1,2,0,1,"00/01"
"SC0","07/04/01","Celtic","St Mirren",1,0,"H",1,0,"H",25,6,8,"0",8,9,11,2,0,1,0,0,"00/01"
"SC0","07/04/01","Aberdeen","Dundee",0,2,"A",0,0,"D",2,8,1,"4",12,6,1,3,0,1,0,0,"00/01"
"SC0","04/04/01","Celtic","Dundee",2,1,"H",1,0,"H",13,9,5,"6",9,11,5,5,1,3,0,1,"00/01"
"SC0","04/04/01","Aberdeen","Dundee United",4,1,"H",3,1,"H",10,14,5,"6",14,11,2,9,1,3,0,0,"00/01"
"SC0","01/04/01","St Johnstone","Hibernian",2,0,"H",0,0,"D",19,14,10,"5",14,14,3,2,1,2,0,0,"00/01"
"SC0","01/04/01","Aberdeen","Celtic",0,1,"A",0,0,"D",5,19,2,"7",17,10,4,2,1,1,0,0,"00/01"
"SC0","31/03/01","St Mirren","Dunfermline",1,1,"D",0,1,"A",12,14,4,"7",14,18,7,6,1,1,0,0,"00/01"
"SC0","31/03/01","Rangers","Dundee United",0,2,"A",0,0,"D",17,11,8,"7",13,11,10,7,1,2,0,0,"00/01"
"SC0","31/03/01","Hearts","Motherwell",3,0,"H",1,0,"H",15,7,9,"2",14,21,4,8,0,3,0,0,"00/01"
"SC0","31/03/01","Dundee","Kilmarnock",2,2,"D",1,1,"D",10,7,5,"4",12,12,4,1,1,2,0,1,"00/01"
"SC0","27/03/01","Aberdeen","St Johnstone",3,3,"D",2,1,"H",9,9,6,"5",13,13,3,8,3,2,0,0,"00/01"
"SC0","18/03/01","Dundee","Hearts",0,0,"D",0,0,"D",7,7,4,"2",12,16,7,2,0,0,0,0,"00/01"
"SC0","17/03/01","St Mirren","St Johnstone",1,0,"H",1,0,"H",10,10,4,"7",10,8,3,5,0,2,0,0,"00/01"
"SC0","17/03/01","Motherwell","Rangers",1,2,"A",1,0,"H",9,12,5,"3",19,8,7,6,1,1,0,0,"00/01"
"SC0","17/03/01","Dunfermline","Hibernian",2,1,"H",1,0,"H",11,10,4,"3",16,15,4,7,2,1,0,0,"00/01"
"SC0","17/03/01","Dundee United","Aberdeen",1,1,"D",1,1,"D",5,5,4,"3",20,13,9,4,0,1,0,0,"00/01"
"SC0","14/03/01","St Johnstone","Celtic",1,2,"A",1,1,"D",6,12,3,"7",13,13,5,7,1,0,0,0,"00/01"
"SC0","14/03/01","Rangers","Dundee",0,2,"A",0,1,"A",17,8,6,"5",19,14,8,3,3,2,1,0,"00/01"
"SC0","14/03/01","Hearts","Kilmarnock",3,0,"H",0,0,"D",10,5,8,"2",13,10,6,7,0,1,0,1,"00/01"
"SC0","13/03/01","Aberdeen","Hibernian",1,0,"H",1,0,"H",14,11,8,"4",9,12,5,4,0,2,0,0,"00/01"
"SC0","04/03/01","Hibernian","Motherwell",1,1,"D",0,0,"D",9,14,4,"4",21,20,2,9,1,5,0,0,"00/01"
"SC0","04/03/01","Dunfermline","Celtic",0,3,"A",0,2,"A",4,13,2,"4",18,6,1,13,2,0,0,0,"00/01"
"SC0","03/03/01","St Johnstone","Dundee",2,3,"A",1,0,"H",10,11,3,"4",15,11,3,3,3,2,1,0,"00/01"
