"Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","B365H","B365D","B365A","BWH","BWD","BWA","IWH","IWD","IWA","LBH","LBD","LBA","season"
"I1","14/05/06","Sampdoria","Lecce",1,3,"A",0,1,"A",16,15,6,8,27,13,7,5,2,0,0,0,1.57,2.87,7,1.6,2.8,8.75,1.65,2.7,5.6,1.61,2.62,8,"05/06"
"I1","14/05/06","Palermo","Messina",1,0,"H",1,0,"H",9,9,3,3,15,17,3,4,0,0,0,0,1.36,3.8,8,1.37,3.9,9,1.45,3.5,6,1.36,3.75,8,"05/06"
"I1","14/05/06","Milan","Roma",2,1,"H",1,1,"D",12,8,5,4,16,19,6,5,1,2,0,1,1.61,3.6,4.5,1.7,3.8,4.05,1.7,3.4,3.8,1.61,3.5,4.5,"05/06"
"I1","14/05/06","Lazio","Parma",1,0,"H",0,0,"D",8,8,4,2,15,20,4,5,0,0,0,0,1.8,2.7,5,1.9,2.65,5.15,1.8,2.6,4.8,1.8,2.75,5,"05/06"
"I1","14/05/06","Empoli","Ascoli",1,2,"A",1,0,"H",11,8,6,4,21,17,5,2,1,1,1,0,1.8,2.7,5,1.8,2.55,6.75,1.75,2.6,5,1.66,2.62,7,"05/06"
"I1","14/05/06","Chievo","Fiorentina",0,2,"A",0,1,"A",8,13,3,6,20,16,6,2,0,0,0,0,8.5,3.25,1.44,7.2,3.4,1.5,6,3.2,1.5,8,3,1.5,"05/06"
"I1","14/05/06","Cagliari","Inter",2,2,"D",2,2,"D",8,12,2,3,12,14,2,3,0,3,0,0,2.62,2.87,2.6,3.05,2.65,2.55,2.7,2.6,2.7,2.75,2.75,2.5,"05/06"
"I1","07/05/06","Udinese","Cagliari",2,0,"H",1,0,"H",13,13,8,5,13,17,4,6,0,2,0,0,1.72,3,6,1.75,2.75,6.25,1.85,2.6,5,1.8,2.75,5,"05/06"
"I1","07/05/06","Roma","Treviso",1,0,"H",1,0,"H",15,9,5,3,19,17,8,4,0,3,0,0,1.1,8,26,1.11,7.5,16,1.1,6.5,17,1.1,6.5,17,"05/06"
"I1","07/05/06","Parma","Milan",2,3,"A",0,2,"A",9,8,7,6,19,20,5,6,2,2,0,0,9,5,1.3,10,4.1,1.33,8.5,4.4,1.3,8,4,1.33,"05/06"
"I1","07/05/06","Lecce","Chievo",0,0,"D",0,0,"D",17,11,4,5,20,14,8,7,2,0,1,0,5.5,3.1,1.72,5,3.05,1.75,4.4,3,1.8,6,2.8,1.67,"05/06"
"I1","07/05/06","Juventus","Palermo",2,1,"H",1,0,"H",10,6,6,4,30,4,5,3,3,1,0,0,1.14,6.5,21,1.15,6.5,13.5,1.15,5.7,14,1.14,6,12,"05/06"
"I1","07/05/06","Inter","Siena",1,1,"D",0,0,"D",11,9,7,5,9,11,2,3,1,2,1,0,1.4,4,9,1.36,4,9,1.35,4,8,1.29,4,10,"05/06"
"I1","30/04/06","Siena","Juventus",0,3,"A",0,3,"A",12,6,5,5,12,14,4,5,1,0,0,0,9,4,1.4,8.65,4,1.36,7.5,3.7,1.4,7,3.75,1.4,"05/06"
"I1","30/04/06","Reggina","Messina",3,0,"H",0,0,"D",12,9,8,5,12,23,2,3,3,3,0,1,1.9,3.25,4,2,3.3,3.35,2,3.1,3.4,1.9,3.2,3.5,"05/06"
"I1","30/04/06","Palermo","Fiorentina",1,0,"H",0,0,"D",7,10,4,2,23,20,2,7,2,4,0,0,3.75,3.2,2,3.75,3,2,3.8,2.8,2,3.4,3,2,"05/06"
"I1","30/04/06","Milan","Livorno",2,0,"H",1,0,"H",17,4,9,2,15,24,6,2,0,0,0,0,1.2,5.5,17,1.22,5.5,10.5,1.2,5,12,1.14,5.5,15,"05/06"
"I1","30/04/06","Lazio","Lecce",1,0,"H",0,0,"D",8,3,2,2,15,22,7,3,0,4,0,1,1.2,5.5,17,1.18,5.7,13.5,1.25,4.6,10.5,1.16,5.5,12,"05/06"
"I1","30/04/06","Empoli","Inter",1,0,"H",0,0,"D",8,12,1,3,16,17,2,7,1,1,0,0,5,3.3,1.72,5,3.05,1.75,4,3,1.9,4,3.2,1.8,"05/06"
"I1","30/04/06","Chievo","Roma",4,4,"D",2,3,"A",8,15,7,10,25,17,3,9,1,3,0,0,3.25,3.2,2.2,3.15,3.15,2.15,3.2,3.1,2.1,2.87,3,2.25,"05/06"
"I1","30/04/06","Cagliari","Parma",3,1,"H",2,0,"H",10,8,5,3,6,21,1,5,0,1,0,0,1.44,4,7.5,1.48,3.65,6.8,1.4,3.7,7.5,1.36,3.75,8,"05/06"
"I1","22/04/06","Roma","Sampdoria",0,0,"D",0,0,"D",11,5,4,3,15,20,3,5,2,6,1,0,1.33,4.5,6.5,1.35,4,9,1.4,3.7,7.5,1.33,3.75,9,"05/06"
"I1","22/04/06","Messina","Milan",1,3,"A",1,2,"A",6,11,3,6,23,14,3,5,5,4,3,1,3.5,3.25,1.9,4.1,3.2,1.85,3.6,3.2,1.9,4.33,3,1.8,"05/06"
"I1","22/04/06","Juventus","Lazio",1,1,"D",0,1,"A",24,4,9,3,20,13,15,3,2,3,0,1,1.61,3.4,5,1.55,3.25,6.75,1.6,3.4,5.2,1.53,3.25,6,"05/06"
"I1","22/04/06","Inter","Reggina",4,0,"H",3,0,"H",16,4,13,2,16,13,5,1,0,0,0,0,1.25,5,8,1.25,5,10,1.3,4.4,8.5,1.25,4.5,10,"05/06"
"I1","22/04/06","Fiorentina","Empoli",2,1,"H",1,0,"H",19,7,11,5,24,23,7,4,1,3,0,0,1.25,5,8,1.25,5,10,1.3,4.4,8.5,1.29,4.33,9,"05/06"
"I1","15/04/06","Treviso","Fiorentina",1,3,"A",1,1,"D",5,8,1,5,16,16,6,5,1,2,0,0,10,5,1.28,10,4.6,1.27,8.5,4.4,1.3,11,5,1.2,"05/06"
"I1","15/04/06","Sampdoria","Parma",1,2,"A",1,0,"H",10,12,3,5,18,22,3,2,0,1,0,0,1.9,2.5,5.5,2,2.4,5,2.1,2.3,4.7,2.1,2.5,4,"05/06"
"I1","15/04/06","Reggina","Ascoli",2,0,"H",2,0,"H",5,7,4,0,19,14,7,9,3,1,1,0,1.9,2.8,5,1.83,2.85,5,1.85,2.5,5.2,1.8,2.75,5,"05/06"
"I1","15/04/06","Palermo","Roma",3,3,"D",0,3,"A",15,10,7,6,21,19,4,1,3,3,0,0,3.1,3.1,2.3,3,3,2.3,2.9,3,2.3,2.88,3,2.25,"05/06"
"I1","15/04/06","Lecce","Udinese",1,2,"A",1,1,"D",15,10,6,4,19,18,4,6,1,4,0,0,3.2,3.1,2.25,2.95,3.2,2.25,2.7,3.1,2.4,2.5,3.25,2.4,"05/06"
"I1","15/04/06","Lazio","Livorno",3,1,"H",1,0,"H",4,5,4,3,23,24,2,2,2,3,0,1,1.57,3.5,6.5,1.5,3.45,7,1.55,3.4,5.8,1.5,3.25,6.5,"05/06"
"I1","15/04/06","Chievo","Messina",2,0,"H",1,0,"H",9,10,3,2,19,25,3,8,3,4,1,0,1.9,3.25,4,1.9,3.25,3.7,1.9,3.2,3.6,1.8,3.2,4,"05/06"
"I1","15/04/06","Cagliari","Juventus",1,1,"D",1,0,"H",2,16,1,5,31,30,1,9,4,2,2,0,4.33,2.87,2,4.15,2.8,2,3.9,2.8,2,4.5,2.88,1.8,"05/06"
"I1","14/04/06","Milan","Inter",1,0,"H",0,0,"D",8,11,4,5,24,18,3,4,4,4,0,0,2.4,3,3.1,2.35,2.9,3.05,2.5,2.9,2.9,2.25,2.88,3,"05/06"
"I1","09/04/06","Roma","Lecce",3,1,"H",2,0,"H",6,12,5,2,24,18,8,4,3,1,0,0,1.33,4.5,9.5,1.3,4.6,8.85,1.35,4.2,7.5,1.29,4.33,9,"05/06"
"I1","09/04/06","Milan","Chievo",4,1,"H",1,1,"D",18,9,9,4,12,14,9,3,0,2,0,0,1.33,4.5,9.5,1.35,4.15,8.5,1.37,3.8,8,1.3,4,9,"05/06"
"I1","09/04/06","Messina","Treviso",3,1,"H",1,1,"D",12,2,7,2,18,13,6,2,5,3,0,0,1.25,4.75,9,1.28,4.5,10,1.27,4.4,10,1.25,4.5,10,"05/06"
"I1","09/04/06","Juventus","Fiorentina",1,1,"D",0,0,"D",15,11,4,5,17,20,10,0,3,3,0,0,1.72,3.3,5,1.75,3.25,4.45,1.75,3.2,4.3,1.67,3.2,5,"05/06"
"I1","09/04/06","Empoli","Sampdoria",2,1,"H",1,0,"H",5,12,4,4,22,22,2,5,0,1,0,0,2.4,2.7,3.4,2.4,2.55,3.45,2.2,2.6,3.6,2.25,2.5,3.6,"05/06"
"I1","09/04/06","Cagliari","Palermo",1,1,"D",1,0,"H",11,7,5,3,15,12,2,7,1,2,0,0,2.25,2.8,3.6,2.2,2.75,3.55,2.2,2.7,3.5,2.2,2.62,3.5,"05/06"
"I1","08/04/06","Livorno","Udinese",0,2,"A",0,1,"A",12,6,6,4,16,18,3,1,1,0,0,1,2.62,2.62,3.2,2.6,2.65,2.95,2.6,2.7,2.9,2.4,2.5,3.25,"05/06"
"I1","08/04/06","Ascoli","Inter",1,2,"A",1,0,"H",8,14,3,8,18,18,1,3,3,1,0,1,4.75,3.2,1.8,5.35,3.1,1.7,4.2,3.1,1.8,4.5,2.88,1.8,"05/06"
"I1","02/04/06","Udinese","Parma",2,0,"H",1,0,"H",11,2,4,1,15,26,4,4,4,2,0,0,1.83,3.1,4.75,1.75,3.15,4.65,1.85,3,4.2,1.83,3,4,"05/06"
"I1","02/04/06","Sampdoria","Cagliari",1,1,"D",1,0,"H",7,5,5,3,25,15,5,1,3,3,0,0,2.1,2.8,4,2,2.85,3.95,1.85,2.8,4.6,1.91,2.88,4,"05/06"
"I1","02/04/06","Reggina","Siena",1,1,"D",0,1,"A",11,5,4,2,8,18,5,7,0,3,0,0,2.3,2.25,4.33,2.3,2.2,4.75,2.4,1.9,4.5,2.25,2.2,4.5,"05/06"
"I1","02/04/06","Palermo","Ascoli",1,1,"D",1,0,"H",5,4,4,2,15,11,1,6,1,2,1,0,1.66,3.4,5.5,1.65,3.15,5.75,1.75,3.1,4.5,1.73,2.88,5,"05/06"
"I1","02/04/06","Lazio","Empoli",3,3,"D",2,1,"H",13,4,8,3,20,24,8,4,1,1,0,0,1.61,3.4,6,1.6,3.35,5.75,1.6,3.4,5.2,1.62,3,6,"05/06"
"I1","02/04/06","Fiorentina","Roma",1,1,"D",1,0,"H",8,17,5,7,16,24,4,7,3,4,0,0,2.3,3,3.25,2.3,2.9,3.15,2.3,3,2.9,2.25,2.88,3,"05/06"
"I1","02/04/06","Chievo","Livorno",2,1,"H",1,1,"D",6,6,4,4,20,26,5,1,1,2,1,0,2,2.87,4.33,2.05,2.7,4.2,2,2.8,3.9,1.91,2.75,4.33,"05/06"
"I1","01/04/06","Treviso","Juventus",0,0,"D",0,0,"D",5,15,1,6,26,17,3,14,3,4,0,0,7.5,4.33,1.4,8,4.3,1.35,8,4.2,1.33,9,3.75,1.33,"05/06"
"I1","01/04/06","Lecce","Milan",1,0,"H",0,0,"D",12,8,6,5,17,18,6,3,2,1,0,0,6.5,3.6,1.53,5.9,3.8,1.5,5,3.5,1.6,6.5,3.6,1.44,"05/06"
"I1","01/04/06","Inter","Messina",3,0,"H",3,0,"H",13,4,7,0,12,15,6,1,0,1,0,0,1.33,4.5,9.5,1.26,4.6,11.75,1.3,4.4,8.5,1.25,4.5,10,"05/06"
"I1","26/03/06","Siena","Lecce",1,2,"A",0,1,"A",11,12,7,4,20,19,6,3,2,5,1,0,1.57,3.4,5.5,1.6,3.4,5.5,1.7,3.2,4.7,1.53,3.25,6,"05/06"
"I1","25/03/06","Parma","Inter",1,0,"H",1,0,"H",11,18,9,9,25,18,2,14,4,4,0,0,4.75,3.1,1.83,4.55,3.05,1.8,4,3,1.9,4,2.88,1.91,"05/06"
"I1","26/03/06","Palermo","Treviso",1,0,"H",0,0,"D",8,8,5,3,16,19,4,6,1,1,0,0,1.33,4.5,9.5,1.3,4.5,9.5,1.35,4,8,1.36,3.75,8,"05/06"
"I1","25/03/06","Milan","Fiorentina",3,1,"H",1,1,"D",11,6,6,3,16,18,10,2,2,1,0,0,1.61,3.4,6,1.55,3.55,5.85,1.6,3.4,5.2,1.62,3.1,5.5,"05/06"
"I1","26/03/06","Messina","Udinese",1,1,"D",1,1,"D",6,12,4,7,16,23,7,4,1,3,0,0,2.3,2.87,3.4,2.3,2.9,3.15,2.4,2.7,3.1,2.2,2.8,3.2,"05/06"
"I1","26/03/06","Lazio","Sampdoria",2,0,"H",0,0,"D",11,4,3,1,21,31,6,3,2,6,0,0,1.9,3,4.5,1.95,3.05,3.9,1.9,3,4,1.8,3,4.33,"05/06"
"I1","25/03/06","Juventus","Roma",1,1,"D",1,0,"H",5,9,3,4,19,20,2,6,1,3,1,0,1.72,3.1,5.5,1.65,3.25,5.4,1.7,3.2,4.7,1.67,3.1,5,"05/06"
"I1","26/03/06","Empoli","Livorno",2,1,"H",1,0,"H",16,8,6,3,18,24,0,4,1,2,0,0,2.4,2.87,3.2,2.55,2.75,2.9,2.5,2.7,3,2.25,2.88,3,"05/06"
"I1","26/03/06","Cagliari","Reggina",0,2,"A",0,2,"A",14,6,6,2,23,27,6,3,4,5,0,0,1.9,3,4.5,1.9,2.9,4.4,1.85,3,4.2,1.8,2.88,4.5,"05/06"
"I1","26/03/06","Ascoli","Chievo",2,2,"D",1,1,"D",9,4,4,3,16,22,5,7,1,2,0,0,2.37,2.75,3.4,2.4,2.7,3.2,2.4,2.7,3.1,2.2,2.62,3.5,"05/06"
"I1","19/03/06","Udinese","Milan",0,4,"A",0,1,"A",6,6,4,4,14,11,4,3,1,0,0,0,5.5,3.4,1.66,5.5,3.2,1.65,4.3,3.2,1.75,4.5,3.25,1.67,"05/06"
"I1","19/03/06","Sampdoria","Palermo",0,2,"A",0,0,"D",15,14,7,7,18,19,7,2,4,3,0,0,2,3,4,2.05,2.9,3.75,2,2.8,3.8,1.91,3,3.75,"05/06"
"I1","19/03/06","Roma","Messina",2,1,"H",1,0,"H",17,7,7,6,14,29,11,4,1,3,0,1,1.5,3.6,7.5,1.45,3.65,7.5,1.45,3.6,7,1.36,3.75,8,"05/06"
"I1","19/03/06","Reggina","Empoli",0,2,"A",0,0,"D",8,10,3,5,24,19,6,3,4,2,1,0,2,3,4,1.83,3,4.6,1.85,2.9,4.4,1.8,3,4.33,"05/06"
"I1","19/03/06","Lecce","Parma",1,2,"A",0,0,"D",16,11,10,5,15,22,8,3,2,4,0,0,2.4,3,3,2.25,3.1,3,2.5,2.8,2.9,2.38,3,2.75,"05/06"
"I1","19/03/06","Inter","Lazio",3,1,"H",1,0,"H",21,8,10,6,18,8,14,6,2,1,0,0,1.5,3.6,7.5,1.5,3.5,6.85,1.6,3.5,5,1.5,3.4,6.5,"05/06"
"I1","19/03/06","Fiorentina","Ascoli",3,1,"H",0,1,"A",16,7,9,3,16,21,6,2,1,3,0,1,1.44,3.75,8.5,1.45,3.55,7.9,1.45,3.6,7,1.44,3.6,6.5,"05/06"
