"Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","season"
"14/06/98","Verona","Ravenna",4,2,"H","97/98"
"14/06/98","Treviso","C. Sangro",3,2,"H","97/98"
"14/06/98","Torino","Lucchese",1,0,"H","97/98"
"14/06/98","Reggina","Venezia",1,1,"D","97/98"
"14/06/98","Pescara","Reggiana",2,0,"H","97/98"
"14/06/98","Monza","Perugia",0,2,"A","97/98"
"14/06/98","Genoa","Padova",1,0,"H","97/98"
"14/06/98","Foggia","Ancona",2,2,"D","97/98"
"14/06/98","F. Andria","Salernitana",2,2,"D","97/98"
"14/06/98","Cagliari","Chievo",2,2,"D","97/98"
"07/06/98","Venezia","F. Andria",1,1,"D","97/98"
"07/06/98","Salernitana","Foggia",3,2,"H","97/98"
"07/06/98","Reggiana","Monza",0,2,"A","97/98"
"07/06/98","Ravenna","Genoa",3,0,"H","97/98"
"07/06/98","Perugia","Torino",2,1,"H","97/98"
"07/06/98","Padova","Reggina",3,1,"H","97/98"
"07/06/98","Lucchese","Treviso",0,0,"D","97/98"
"07/06/98","Chievo","Pescara",2,2,"D","97/98"
"07/06/98","C. Sangro","Verona",0,2,"A","97/98"
"07/06/98","Ancona","Cagliari",4,1,"H","97/98"
"31/05/98","Verona","Lucchese",2,0,"H","97/98"
"31/05/98","Treviso","Padova",3,2,"H","97/98"
"31/05/98","Torino","Chievo",1,1,"D","97/98"
"31/05/98","Reggina","Salernitana",1,0,"H","97/98"
"31/05/98","Pescara","Perugia",1,2,"A","97/98"
"31/05/98","Monza","Ancona",3,3,"D","97/98"
"31/05/98","Genoa","C. Sangro",2,1,"H","97/98"
"31/05/98","Foggia","Ravenna",2,2,"D","97/98"
"31/05/98","F. Andria","Reggiana",1,1,"D","97/98"
"31/05/98","Cagliari","Venezia",1,1,"D","97/98"
"24/05/98","Salernitana","Monza",4,1,"H","97/98"
"24/05/98","Reggina","Verona",0,3,"A","97/98"
"24/05/98","Reggiana","Torino",0,1,"A","97/98"
"24/05/98","Ravenna","F. Andria",0,1,"A","97/98"
"24/05/98","Perugia","Genoa",1,0,"H","97/98"
"24/05/98","Padova","Cagliari",1,2,"A","97/98"
"24/05/98","Lucchese","Venezia",2,0,"H","97/98"
"24/05/98","Chievo","Treviso",1,0,"H","97/98"
"24/05/98","C. Sangro","Foggia",0,1,"A","97/98"
"24/05/98","Ancona","Pescara",0,0,"D","97/98"
"17/05/98","Verona","Reggiana",0,1,"A","97/98"
"17/05/98","Venezia","C. Sangro",3,0,"H","97/98"
"17/05/98","Torino","Salernitana",1,0,"H","97/98"
"17/05/98","Pescara","Reggina",1,1,"D","97/98"
"17/05/98","Monza","Ravenna",1,2,"A","97/98"
"17/05/98","Genoa","Treviso",0,1,"A","97/98"
"17/05/98","Foggia","Perugia",1,1,"D","97/98"
"17/05/98","F. Andria","Padova",2,0,"H","97/98"
"17/05/98","Cagliari","Lucchese",3,1,"H","97/98"
"17/05/98","Ancona","Chievo",3,2,"H","97/98"
"10/05/98","Treviso","F. Andria",1,1,"D","97/98"
"10/05/98","Salernitana","Venezia",0,0,"D","97/98"
"10/05/98","Reggina","Genoa",2,0,"H","97/98"
"10/05/98","Reggiana","Cagliari",0,0,"D","97/98"
"10/05/98","Ravenna","Pescara",2,1,"H","97/98"
"10/05/98","Perugia","Verona",2,1,"H","97/98"
"10/05/98","Padova","Monza",1,2,"A","97/98"
"10/05/98","Lucchese","Ancona",1,1,"D","97/98"
"10/05/98","Chievo","Foggia",1,1,"D","97/98"
"10/05/98","C. Sangro","Torino",2,1,"H","97/98"
"03/05/98","Verona","Treviso",1,1,"D","97/98"
"03/05/98","Venezia","Chievo",2,0,"H","97/98"
"03/05/98","Torino","Ravenna",1,0,"H","97/98"
"03/05/98","Pescara","C. Sangro",1,2,"A","97/98"
"03/05/98","Monza","Lucchese",3,1,"H","97/98"
"03/05/98","Genoa","Salernitana",1,1,"D","97/98"
"03/05/98","Foggia","Padova",2,0,"H","97/98"
"03/05/98","F. Andria","Reggina",0,2,"A","97/98"
"03/05/98","Cagliari","Perugia",0,0,"D","97/98"
"02/05/98","Ancona","Reggiana",1,1,"D","97/98"
"26/04/98","Verona","F. Andria",2,1,"H","97/98"
"26/04/98","Treviso","Torino",0,0,"D","97/98"
"26/04/98","Salernitana","Ancona",3,2,"H","97/98"
"26/04/98","Reggiana","C. Sangro",1,0,"H","97/98"
"26/04/98","Ravenna","Venezia",1,0,"H","97/98"
"26/04/98","Perugia","Chievo",3,0,"H","97/98"
"26/04/98","Padova","Pescara",1,0,"H","97/98"
"26/04/98","Monza","Genoa",0,0,"D","97/98"
"26/04/98","Lucchese","Foggia",2,0,"H","97/98"
"25/04/98","Reggina","Cagliari",2,2,"D","97/98"
"19/04/98","Venezia","Reggiana",2,1,"H","97/98"
"19/04/98","Torino","Reggina",2,0,"H","97/98"
"19/04/98","Ravenna","Salernitana",0,0,"D","97/98"
"19/04/98","Pescara","Treviso",1,0,"H","97/98"
"19/04/98","Foggia","Monza",5,1,"H","97/98"
"19/04/98","F. Andria","Cagliari",1,1,"D","97/98"
"19/04/98","Chievo","Lucchese",3,1,"H","97/98"
"19/04/98","C. Sangro","Perugia",1,1,"D","97/98"
"19/04/98","Ancona","Padova",0,0,"D","97/98"
"18/04/98","Genoa","Verona",1,0,"H","97/98"
"11/04/98","Verona","Ancona",2,0,"H","97/98"
"11/04/98","Treviso","Foggia",3,3,"D","97/98"
"11/04/98","Reggina","C. Sangro",2,1,"H","97/98"
"11/04/98","Pescara","Venezia",2,1,"H","97/98"
